Unnamed: 0,capital_name,country_name,country_code,lat_offset,lon_offset,repeat,repeat_color
0,Atlanta,United States,US,-12,10,no,black
1,Santo Domingo,Dominican Republic,DO,-12,10,no,blue
2,Georgetown,Guyana,GY,-12,10,no,blue
3,Abuja,Nigeria,NG,-12,10,yes,red
4,Yaounde,Cameroon,CM,-12,10,no,blue
5,Kampala,Uganda,UG,-10,20,no,blue
6,Nairobi,Kenya,KE,5,-8,yes,red
7,Addis Ababa, Ethiopia,ET,-12,10,yes,red
8,Luanda,Angola,AO,20,28,no,blue
9,Lusaka,Zambia,ZM,-12,10,yes,red
10,Gaborone,Botswana,BW,5,24,yes,red
11,Pretoria,South Africa,ZA,30,-5,yes,red
12,Bangkok,Thailand,TH,-12,10,yes,red
13,Port Moresby,Papua New Guinea,PG,-12,10,no,blue
14,Windhoek,Namibia,,25,28,no,blue
15,Harare,Zimbabwe,ZW,25,28,no,blue
16,Lilongwe,Malawi,MW,-10,10,no,blue
17,Dodoma,Tanzania,TZ,-10,10,no,blue
18,Chisinau,Moldova,MD,-10,10,no,blue
19,Tbilisi,Georgia,GE,-10,10,no,blue
20,Tashkent,Uzbekistan,UZ,-10,10,no,blue
21,Manila,Philippines,PH,-10,10,no,blue
22,Hanoi,Vietnam,VN,-10,10,no,blue
23,Kigali,Rwanda,RW,5,-10,no,blue
24,Mbabane,Eswatini,SZ,-10,10,no,blue
25,Accra,Ghana,GH,20,20,no,blue
26,Kinshasa,Democratic Republic of the Congo,CD,5,20,no,green
27,Dakar,Senegal,SN,-10,10,no,green
28,Wagadugu,Burkina Faso,BF,-10,10,no,green
29,Yamoussoukro,Côte d'Ivoire,CI,10,-10,no,green
30,Porto-Novo,Benin,BJ,-10,20,no,green
31,Lomé,Togo,TG,0,-10,no,green
32,Jakarta,Indonesia,ID,-12,10,no,green
33,Phnom Penh,Cambodia,KH,-12,10,no,green
34,Kathmandu,Nepal,NP,-12,10,no,green
35,New Delhi,India,IN,-12,10,no,green
